5000,0.141333,0.141,0.0020548
10000,0.582,0.585,0.00571548
15000,1.32233,1.319,0.00771722
20000,2.32267,2.342,0.0294882
25000,3.63633,3.613,0.0365908
30000,5.22767,5.225,0.0261958
35000,7.22467,7.168,0.0916855
40000,9.305,9.331,0.0868831
45000,11.9827,12.006,0.10097
50000,14.7307,14.753,0.0660118
55000,17.9103,17.963,0.0838424
60000,21.1203,21.126,0.0132749
65000,24.5233,24.595,0.207548
70000,28.27,28.205,0.207244
75000,32.225,32.106,0.212137
80000,36.523,36.355,0.248987
85000,40.3797,40.316,0.137793
90000,45.3297,45.335,0.0605383
95000,49.904,49.984,0.387093
